Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-08-04 23:07:09,2024-08-05 22:57:50,UTC-07:00,2024-08-05 18:53:43,2024-08-05 19:13:46,20,Cycling,6.7,185.0,157,135,12,15,71,0,0,false,,,
2024-08-04 23:07:09,2024-08-05 22:57:50,UTC-07:00,2024-08-05 17:48:53,2024-08-05 18:39:15,50,Strength Trainer,9.8,88.0,144,93,34,4,0,0,0,false,,,
2024-08-04 23:07:09,2024-08-05 22:57:50,UTC-07:00,2024-08-05 17:20:30,2024-08-05 17:36:58,16,Cycling,5.9,144.0,157,133,3,68,29,0,0,false,,,
2024-08-03 23:28:20,2024-08-04 23:07:09,UTC-07:00,2024-08-04 10:15:56,2024-08-04 11:03:49,47,Running,13.0,610.0,180,152,0,7,61,32,0,false,,,
2024-08-03 00:28:13,2024-08-03 23:28:20,UTC-07:00,2024-08-03 10:12:00,2024-08-03 10:26:59,14,Activity,4.3,37.0,152,96,35,13,3,0,0,false,,,
2024-08-03 00:28:13,2024-08-03 23:28:20,UTC-07:00,2024-08-03 09:42:00,2024-08-03 09:56:59,14,Activity,4.2,32.0,132,94,43,8,0,0,0,false,,,
2024-08-01 22:16:46,2024-08-03 00:28:13,UTC-07:00,2024-08-02 19:30:48,2024-08-02 20:22:25,51,Strength Trainer,11.7,121.0,155,97,46,7,2,0,0,false,,,
2024-08-01 00:36:32,2024-08-01 22:16:46,UTC-07:00,2024-08-01 18:40:25,2024-08-01 19:31:53,51,Running,15.0,760.0,188,163,0,1,22,74,3,false,,,
2024-07-29 22:10:19,2024-07-30 23:13:49,UTC-07:00,2024-07-30 19:09:29,2024-07-30 19:53:02,43,Strength Trainer,13.7,90.0,147,93,32,10,0,0,0,false,,,
2024-07-28 22:28:19,2024-07-29 22:10:19,UTC-07:00,2024-07-29 17:54:57,2024-07-29 18:26:26,31,Running,10.5,388.0,170,151,0,4,80,16,0,false,,,
2024-07-27 22:48:00,2024-07-28 22:28:19,UTC-07:00,2024-07-28 13:28:17,2024-07-28 13:52:07,23,Strength Trainer,6.0,59.0,137,101,52,12,0,0,0,false,,,
2024-07-26 22:58:03,2024-07-27 22:48:00,UTC-07:00,2024-07-27 10:16:09,2024-07-27 11:10:19,54,Strength Trainer,8.0,179.0,152,105,57,20,1,0,0,false,,,
2024-07-25 23:36:53,2024-07-26 22:58:03,UTC-07:00,2024-07-26 19:01:39,2024-07-26 19:51:41,50,Running,14.4,718.0,182,161,0,0,33,67,0,false,,,
2024-07-24 23:20:26,2024-07-25 23:36:53,UTC-07:00,2024-07-25 18:59:11,2024-07-25 19:50:18,51,Strength Trainer,14.5,218.0,159,111,50,31,5,0,0,false,,,
2024-07-16 23:48:34,2024-07-17 23:10:30,UTC-07:00,2024-07-17 18:46:38,2024-07-17 19:06:28,19,Cycling,6.1,155.0,155,129,15,31,47,0,0,false,,,
